ROAD TRIP CSV ";,"
Version;Language
2000;fr


RECORDS DE CARBURANT
Odomètre (km);Odomètre de Voyage;Date;Essence Montant;Essence unités;Prix par unité;Prix total;Réservoir plein;l/100 km;Note;Indice d'octane;Emplacement;Paiement;Conditions;Réinitialiser;Catégories;Flags;Code de monnaie;Taux de change;Latitude;Longitude;ID;Trip Comp Fuel Economy;Trip Comp Avg. Speed;Trip Comp Temperature;Trip Comp Drive Time;Tank Number
"Contrôle Technique";"2016-11-7";;;;;Service;;;;"4y";;64;;1;;;1;"2m";
"Kit Courroie De Distribution";"2016-11-7 18:32";1;;;;Service;;;;"8y";160000;69;;1;48,004125;-4,084743;39;"1w";100
"Bougies D’allumage";"2016-11-7 18:37";1;;;;Service;;;;"3y";60000;64;;1;;;43;"1w";100
"Achat Voiture";"2016-11-9";8;;;"Ford Metz";Service;;;;;;0;;1;;;2;;
"Montage Pneus Neige";"2017-1-9";;56,02;;;Service;;;;;;0;;1;;;3;;
"Remplacement Valve";"2017-1-31";8638;14,9;;"Ford Metz";Service;;;;;;0;;1;;;4;;
"Révision";"2017-6-14";20494;244,24;;"Ford Metz";Service;"Maintenance";;;"1y";20000;0;;1;;;5;;
"Carrosserie Avant";"2017-10-27";29775;400,8;;"Ford Metz";Service;;;;;;0;;1;;;6;;
"Pneus Neige";"2017-12-5";38000;28,8;;;Service;;;;;;0;;1;;;7;;
"Révision";"2018-2-21";40338;200,7;;"Ford Metz";Service;"Maintenance";;;"1y";20000;0;;1;;;8;;
"Pneus Été";"2018-8-10";53576;89,18;;"Ford Metz";Service;;;;;;0;;1;;;9;;
"Révision";"2018-12-19";61334;401,44;"Bougies d’allumage";"Ford Brest";Service;"Maintenance";;;"1y";20000;0;;1;;;10;;
"Bougies D’allumage";"2018-12-19 18:43";61334;;;"Ford Brest";Service;;;;"3y";60000;69;;1;;;45;"1w";100
"Révision";"2019-12-6 13:52";84671;333,47;;"Ford Brest";Service;"Maintenance";;;"1y";20000;64;;1;;;11;;
"Pneus Bridgestone";"2019-12-11 14:00";84928;268,74;;"Feu Vert St Renan";Service;;;;;;0;;1;48,428471;-4,613627;12;;
"Batterie";"2020-11-19 11:24";107579;99;;"Leclerc Auto";Service;"Maintenance";;;;;0;;1;48,013864;-4,078294;14;;
"Contrôle Technique";"2020-11-26 10:30";107641;75;;;Service;;;;"2y";;64;;1;;;16;"2m";
"Réparation Pneu AVG";"2020-12-18 12:28";107830;21,9;;"Leclerc Auto";Service;;;;;;0;;1;47,997471;-4,099362;18;;
"Lavage";"2021-3-10 18:16";110171;10;;;Service;;;;;;0;;1;47,993823;-4,066235;20;;
"Révision";"2021-3-18 12:08";110303;146,34;;"Feu Vert géant Quimper";Service;"Maintenance";;;"1y";20000;64;;1;47,975064;-4,092427;22;;
"Révision";"2022-6-22 17:00";123889;171,34;;"Feu Vert géant Quimper";Service;"Maintenance";;;"1y";20000;64;;1;47,975064;-4,092427;24;;
"Contrôle Technique";"2022-11-24";130976;76;;"Autosécurité Gourvily - Quimper";Service;;;;"2y";;64;;1;48,016953;-4,087182;26;"2m";
"Révision";"2024-2-20 11:55";149174;91,43;;"Feu Vert géant Quimper";Service;"Maintenance";;;"1y";20000;64;;1;47,975064;-4,092427;28;;
"Plaquettes De Frein Avant";"2024-2-23 12:18";149338;98,23;;"Feu Vert géant Quimper";Service;;;;;;0;;1;47,975159;-4,092791;30;;
"Liquide De Refroidissement 2,5L";"2024-4-7 13:11";151634;16;;;Service;;;;;;0;;1;47,998955;-4,132683;32;;
"Pneus + géométrie";"2024-4-13 11:44";151895;427,83;;"Feu Vert géant Quimper";Service;;;;;;0;;1;47,975056;-4,092697;34;;
"Pompe À Eau";"2024-4-16 18:16";151993;382,12;;"Garage Bourbigot";Service;;;;;;0;;1;48,022518;-4,023084;47;;
"Contrôle Technique";"2024-11-21 11:30";168478;75;;;Service;;;;"2y";;1;;1;;;49;"2m";
"Révision";"2025-9-18 11:48";191619;96,43;;"Feu Vert géant Quimper";Service;"Maintenance";;;"1y";20000;1;;1;47,975064;-4,092427;51;;
"Bloc ABS + Disques + Plaquettes AV";"2025-10-9 11:06";191722;1784,89;;"Ford Quimper";Service;;;;;;0;;1;47,973831;-4,065858;53;;


ROAD TRIPS
Nom;Date de début;Début du compteur kilométrique (km);Date de fin;Fin du compteur kilométrique;Note;Distance;ID;Type;Catégories;Flags
"Autumn 2019";"2019-9-1";84670;"2019-12-31";87595;;2925;1;Rapport;;14
"My First Road Trip";"2019-12-6";84670;;;;;2;Rapport;;14
"Spring 2020";"2020-1-1";87595;"2020-4-30";95134;;7539;3;Rapport;;14
"Summer 2020";"2020-5-1";95134;"2020-8-31";106181;;11047;4;Rapport;;14


AUTOMOBILE
Nom;Odomètre;Unités;Notes;Tank Capacity;Tank Units;Flags;IconID;FuelUnits;TripComp Units;TripComp Speed;TripComp Temperature;TripComp Time Enabled;Odometer Shift
"Fiesta";"km";"l/100 km";"License Plate: EG 123 NS
VIN: WF0DXXGAKDGY03363
Mise en circulation: 07/11/2016

Insurance Name:
Policy No.:
Phone:

Oil Type:

Notes:
";44;L;EUR;H10001;1000;1;l/100 km;km/h;C;1;


PNEUS
Nom;Date de début;Début du compteur kilométrique (km);Taille des pneus;Taille de correction;Distance;Âge;Note;Flags;ID;ParentID
"Pneus Origine";"2016-11-9";0;"195 50 R15 82H";;8000;"8 semaines";;0;1;1
"Pneus Neige";"2017-1-9";8000;"195 50 R15 82H";;12494;"5 mois";;4;2;2
"Pneus Origine";"2017-6-14";20494;"195 50 R15 82H";;16506;"6 mois";;0;3;1
"Pneus Neige";"2017-12-5";37000;"195 50 R15 82H";;16576;"8 mois";;4;4;2
"Pneus Origine";"2018-8-10";53576;"195 50 R15 82H";;31352;"1 an 4 mois";;0;5;1
"Bridgestone Turanza T005";"2019-12-11";84928;"195 50 R15 82H";;66967;"4 ans 4 mois";;0;6;0
"Uniroyal all Seasons Expert 2";"2024-4-13";151895;"195 50 R15 82H";;56698;"2 ans 3 mois";;0;7;0


VALUATIONS
Type;Date;Odometer;Price;Notes;Flags

